country,axis,year,cumulative_drift
ARE,fiscal.sectoral_subsidy,1976,3.0
ARE,fiscal.sectoral_subsidy,1977,3.0
ARE,fiscal.sectoral_subsidy,1978,3.0
ARE,fiscal.sectoral_subsidy,1979,3.0
ARE,fiscal.sectoral_subsidy,1980,3.0
ARE,fiscal.sectoral_subsidy,1981,3.0
ARE,fiscal.sectoral_subsidy,1982,3.0
ARE,fiscal.sectoral_subsidy,1983,3.0
ARE,fiscal.sectoral_subsidy,1984,3.0
ARE,fiscal.sectoral_subsidy,1985,3.0
ARE,fiscal.sectoral_subsidy,1986,3.0
ARE,fiscal.sectoral_subsidy,1987,3.0
ARE,fiscal.sectoral_subsidy,1988,3.0
ARE,fiscal.sectoral_subsidy,1989,3.0
ARE,fiscal.sectoral_subsidy,1990,3.0
ARE,fiscal.sectoral_subsidy,1991,3.0
ARE,fiscal.sectoral_subsidy,1992,3.0
ARE,fiscal.sectoral_subsidy,1993,3.0
ARE,fiscal.sectoral_subsidy,1994,3.0
ARE,fiscal.sectoral_subsidy,1995,3.0
ARE,fiscal.sectoral_subsidy,1996,3.0
ARE,fiscal.sectoral_subsidy,1997,3.0
ARE,fiscal.sectoral_subsidy,1998,3.0
ARE,fiscal.sectoral_subsidy,1999,3.0
ARE,fiscal.sectoral_subsidy,2000,3.0
ARE,fiscal.sectoral_subsidy,2001,3.0
ARE,fiscal.sectoral_subsidy,2002,3.0
ARE,fiscal.sectoral_subsidy,2003,3.0
ARE,fiscal.sectoral_subsidy,2004,3.0
ARE,fiscal.sectoral_subsidy,2005,3.0
ARE,fiscal.sectoral_subsidy,2006,3.0
ARE,fiscal.sectoral_subsidy,2007,3.0
ARE,fiscal.sectoral_subsidy,2008,3.0
ARE,fiscal.sectoral_subsidy,2009,3.0
ARE,fiscal.sectoral_subsidy,2010,3.0
ARE,fiscal.sectoral_subsidy,2011,3.0
ARE,fiscal.sectoral_subsidy,2012,3.0
ARE,fiscal.sectoral_subsidy,2013,3.0
ARE,fiscal.sectoral_subsidy,2014,3.0
ARE,fiscal.sectoral_subsidy,2015,3.0
ARE,fiscal.sectoral_subsidy,2016,3.0
ARE,fiscal.sectoral_subsidy,2017,3.0
ARE,fiscal.sectoral_subsidy,2018,3.0
ARE,fiscal.sectoral_subsidy,2019,3.0
ARE,fiscal.sectoral_subsidy,2020,3.0
ARE,fiscal.sectoral_subsidy,2021,3.0
ARE,fiscal.sectoral_subsidy,2022,5.0
ARE,fiscal.sectoral_subsidy,2023,5.0
ARE,fiscal.sectoral_subsidy,2024,5.0
ARE,fiscal.sectoral_subsidy,2025,5.0
ARE,fiscal.spending_level,1976,3.0
ARE,fiscal.spending_level,1977,3.0
ARE,fiscal.spending_level,1978,3.0
ARE,fiscal.spending_level,1979,3.0
ARE,fiscal.spending_level,1980,3.0
ARE,fiscal.spending_level,1981,3.0
ARE,fiscal.spending_level,1982,3.0
ARE,fiscal.spending_level,1983,3.0
ARE,fiscal.spending_level,1984,3.0
ARE,fiscal.spending_level,1985,2.0
ARE,fiscal.spending_level,1986,2.0
ARE,fiscal.spending_level,1987,2.0
ARE,fiscal.spending_level,1988,2.0
ARE,fiscal.spending_level,1989,2.0
ARE,fiscal.spending_level,1990,2.0
ARE,fiscal.spending_level,1991,2.0
ARE,fiscal.spending_level,1992,2.0
ARE,fiscal.spending_level,1993,2.0
ARE,fiscal.spending_level,1994,2.0
ARE,fiscal.spending_level,1995,4.0
ARE,fiscal.spending_level,1996,4.0
ARE,fiscal.spending_level,1997,4.0
ARE,fiscal.spending_level,1998,4.0
ARE,fiscal.spending_level,1999,4.0
