ieset_state_id,source_system,source_id,source_name,source_country_iso3,match_type,match_score,manual_review_required,source_id_column,source_name_column
US-AL,iso_3166_2,US-AL,Alabama,USA,native_code,1.0,False,iso_3166_2,state_name
US-AL,us_fips_state,01,Alabama,USA,native_code,1.0,False,state_fips,state_name
US-AL,us_state_abbr,AL,Alabama,USA,native_code,1.0,False,state_abbr,state_name
US-AK,iso_3166_2,US-AK,Alaska,USA,native_code,1.0,False,iso_3166_2,state_name
US-AK,us_fips_state,02,Alaska,USA,native_code,1.0,False,state_fips,state_name
US-AK,us_state_abbr,AK,Alaska,USA,native_code,1.0,False,state_abbr,state_name
US-AZ,iso_3166_2,US-AZ,Arizona,USA,native_code,1.0,False,iso_3166_2,state_name
US-AZ,us_fips_state,04,Arizona,USA,native_code,1.0,False,state_fips,state_name
US-AZ,us_state_abbr,AZ,Arizona,USA,native_code,1.0,False,state_abbr,state_name
US-AR,iso_3166_2,US-AR,Arkansas,USA,native_code,1.0,False,iso_3166_2,state_name
US-AR,us_fips_state,05,Arkansas,USA,native_code,1.0,False,state_fips,state_name
US-AR,us_state_abbr,AR,Arkansas,USA,native_code,1.0,False,state_abbr,state_name
US-CA,iso_3166_2,US-CA,California,USA,native_code,1.0,False,iso_3166_2,state_name
US-CA,us_fips_state,06,California,USA,native_code,1.0,False,state_fips,state_name
US-CA,us_state_abbr,CA,California,USA,native_code,1.0,False,state_abbr,state_name
US-CO,iso_3166_2,US-CO,Colorado,USA,native_code,1.0,False,iso_3166_2,state_name
US-CO,us_fips_state,08,Colorado,USA,native_code,1.0,False,state_fips,state_name
US-CO,us_state_abbr,CO,Colorado,USA,native_code,1.0,False,state_abbr,state_name
US-CT,iso_3166_2,US-CT,Connecticut,USA,native_code,1.0,False,iso_3166_2,state_name
US-CT,us_fips_state,09,Connecticut,USA,native_code,1.0,False,state_fips,state_name
US-CT,us_state_abbr,CT,Connecticut,USA,native_code,1.0,False,state_abbr,state_name
US-DE,iso_3166_2,US-DE,Delaware,USA,native_code,1.0,False,iso_3166_2,state_name
US-DE,us_fips_state,10,Delaware,USA,native_code,1.0,False,state_fips,state_name
US-DE,us_state_abbr,DE,Delaware,USA,native_code,1.0,False,state_abbr,state_name
US-DC,iso_3166_2,US-DC,District of Columbia,USA,native_code,1.0,False,iso_3166_2,state_name
US-DC,us_fips_state,11,District of Columbia,USA,native_code,1.0,False,state_fips,state_name
US-DC,us_state_abbr,DC,District of Columbia,USA,native_code,1.0,False,state_abbr,state_name
US-FL,iso_3166_2,US-FL,Florida,USA,native_code,1.0,False,iso_3166_2,state_name
US-FL,us_fips_state,12,Florida,USA,native_code,1.0,False,state_fips,state_name
US-FL,us_state_abbr,FL,Florida,USA,native_code,1.0,False,state_abbr,state_name
US-GA,iso_3166_2,US-GA,Georgia,USA,native_code,1.0,False,iso_3166_2,state_name
US-GA,us_fips_state,13,Georgia,USA,native_code,1.0,False,state_fips,state_name
US-GA,us_state_abbr,GA,Georgia,USA,native_code,1.0,False,state_abbr,state_name
US-HI,iso_3166_2,US-HI,Hawaii,USA,native_code,1.0,False,iso_3166_2,state_name
US-HI,us_fips_state,15,Hawaii,USA,native_code,1.0,False,state_fips,state_name
US-HI,us_state_abbr,HI,Hawaii,USA,native_code,1.0,False,state_abbr,state_name
US-ID,iso_3166_2,US-ID,Idaho,USA,native_code,1.0,False,iso_3166_2,state_name
US-ID,us_fips_state,16,Idaho,USA,native_code,1.0,False,state_fips,state_name
US-ID,us_state_abbr,ID,Idaho,USA,native_code,1.0,False,state_abbr,state_name
US-IL,iso_3166_2,US-IL,Illinois,USA,native_code,1.0,False,iso_3166_2,state_name
US-IL,us_fips_state,17,Illinois,USA,native_code,1.0,False,state_fips,state_name
US-IL,us_state_abbr,IL,Illinois,USA,native_code,1.0,False,state_abbr,state_name
US-IN,iso_3166_2,US-IN,Indiana,USA,native_code,1.0,False,iso_3166_2,state_name
US-IN,us_fips_state,18,Indiana,USA,native_code,1.0,False,state_fips,state_name
US-IN,us_state_abbr,IN,Indiana,USA,native_code,1.0,False,state_abbr,state_name
US-IA,iso_3166_2,US-IA,Iowa,USA,native_code,1.0,False,iso_3166_2,state_name
US-IA,us_fips_state,19,Iowa,USA,native_code,1.0,False,state_fips,state_name
US-IA,us_state_abbr,IA,Iowa,USA,native_code,1.0,False,state_abbr,state_name
US-KS,iso_3166_2,US-KS,Kansas,USA,native_code,1.0,False,iso_3166_2,state_name
US-KS,us_fips_state,20,Kansas,USA,native_code,1.0,False,state_fips,state_name
US-KS,us_state_abbr,KS,Kansas,USA,native_code,1.0,False,state_abbr,state_name
US-KY,iso_3166_2,US-KY,Kentucky,USA,native_code,1.0,False,iso_3166_2,state_name
US-KY,us_fips_state,21,Kentucky,USA,native_code,1.0,False,state_fips,state_name
US-KY,us_state_abbr,KY,Kentucky,USA,native_code,1.0,False,state_abbr,state_name
