publisher,series,n_obs,coverage,nordic_mean,se_mean,gap_raw,gap_z,corr_with_log_gdp,score,in_v1
world_bank_wdi,NY.GDP.PCAP.KD,280,1.0,52889.904,24149.248,28740.656,1.76,0.97,1.709,False
world_bank_wdi,NY.GDP.PCAP.PP.KD,280,1.0,61711.433,40534.972,21176.461,1.5,0.99,1.482,True
imf,NGDPDPC,280,1.0,53294.936,24173.615,29121.322,1.44,0.88,1.265,False
wgi,GOV_WGI_RL.EST,250,0.89,1.891,0.824,1.067,1.95,0.7,1.223,True
world_bank_wdi,SI.POV.GINI,229,0.82,27.577,34.82,-7.244,-1.98,-0.75,1.216,True
wgi,GOV_WGI_CC.EST,250,0.89,2.131,0.664,1.467,1.95,0.66,1.153,False
wgi,GOV_WGI_GE.EST,250,0.89,1.901,0.74,1.16,1.89,0.68,1.142,True
wgi,GOV_WGI_VA.EST,250,0.89,1.722,1.12,0.602,1.8,0.71,1.136,False
wgi,GOV_WGI_RQ.EST,250,0.89,1.709,0.805,0.904,1.77,0.69,1.085,False
imf,rev,280,1.0,52.124,42.604,9.521,1.53,0.65,0.988,False
imf,LUR,280,1.0,5.84,12.302,-6.462,-1.32,-0.66,0.874,False
imf,GGXWDG_NGDP,280,1.0,53.122,108.441,-55.319,-1.39,-0.58,0.812,True
world_bank_wdi,SL.UEM.TOTL.ZS,280,1.0,5.972,12.165,-6.194,-1.26,-0.64,0.8,True
imf,GGXCNL_NGDP,280,1.0,2.067,-4.527,6.594,1.17,0.68,0.796,False
vdem,vdem_cy_full:COWcode,280,1.0,385.0,285.0,100.0,1.46,0.54,0.784,False
ilostat,UNE_2EAP_SEX_AGE_RT_A,240,0.86,5.77,12.183,-6.413,-1.3,-0.67,0.748,False
imf,BCA_NGDPD,280,1.0,3.879,-3.141,7.02,1.08,0.64,0.689,False
world_bank_wdi,SP.URB.TOTL.IN.ZS,280,1.0,82.863,70.201,12.663,1.31,0.51,0.669,True
vdem,vdem_cy_full:v2x_egaldem,280,1.0,0.837,0.782,0.056,1.28,0.51,0.654,False
vdem,vdem_cy_full:v2x_egaldem_codehigh,280,1.0,0.887,0.836,0.051,1.28,0.5,0.645,False
vdem,vdem_cy_full:v2x_egaldem_codelow,280,1.0,0.797,0.735,0.061,1.24,0.5,0.623,False
wgi,GOV_WGI_PV.EST,250,0.89,1.23,0.513,0.717,1.49,0.47,0.621,False
vdem,vdem_cy_full:v2x_partipdem_sd,280,1.0,0.037,0.041,-0.004,-1.15,-0.53,0.608,False
vdem,vdem_cy_full:v2x_delibdem_codehigh,280,1.0,0.888,0.839,0.049,1.15,0.51,0.584,False
vdem,vdem_cy_full:v2x_delibdem,280,1.0,0.835,0.779,0.056,1.12,0.51,0.573,False
vdem,vdem_cy_full:v2x_delibdem_codelow,280,1.0,0.793,0.73,0.063,1.09,0.51,0.557,False
vdem,vdem_cy_full:v2x_libdem_codehigh,280,1.0,0.894,0.84,0.054,1.23,0.44,0.538,False
vdem,vdem_cy_full:v2x_libdem,280,1.0,0.848,0.791,0.057,1.2,0.43,0.519,False
world_bank_wdi,NE.TRD.GNFS.ZS,280,1.0,81.687,61.598,20.09,1.22,0.42,0.514,False
vdem,vdem_cy_full:v2x_libdem_codelow,280,1.0,0.809,0.748,0.061,1.17,0.42,0.496,False
