country_iso3,country_name,movement_id,subtype,episode_role,clean_comparator_eligible,confidence,source_status,review_status,year,subtype_treated_any,subtype_clean_comparator,subtype_conditional_comparator
ARE,United Arab Emirates,uae_emirate_state_capitalism_1971_present,resource_developmentalist,treated,no,medium_high,normalized_split_from_queue,draft_treated_phase,1971,1.0,0.0,0.0
ARE,United Arab Emirates,uae_emirate_state_capitalism_1971_present,resource_developmentalist,treated,no,medium_high,normalized_split_from_queue,draft_treated_phase,1972,1.0,0.0,0.0
ARE,United Arab Emirates,uae_emirate_state_capitalism_1971_present,resource_developmentalist,treated,no,medium_high,normalized_split_from_queue,draft_treated_phase,1973,1.0,0.0,0.0
ARE,United Arab Emirates,uae_emirate_state_capitalism_1971_present,resource_developmentalist,treated,no,medium_high,normalized_split_from_queue,draft_treated_phase,1974,1.0,0.0,0.0
ARE,United Arab Emirates,uae_emirate_state_capitalism_1971_present,resource_developmentalist,treated,no,medium_high,normalized_split_from_queue,draft_treated_phase,1975,1.0,0.0,0.0
ARE,United Arab Emirates,uae_zayed_consolidation_1976_1990,resource_developmentalist,treated,no,medium_high,current_positive_inventory,draft_treated_phase,1976,1.0,0.0,0.0
ARE,United Arab Emirates,uae_zayed_consolidation_1976_1990,resource_developmentalist,treated,no,medium_high,current_positive_inventory,draft_treated_phase,1977,1.0,0.0,0.0
ARE,United Arab Emirates,uae_zayed_consolidation_1976_1990,resource_developmentalist,treated,no,medium_high,current_positive_inventory,draft_treated_phase,1978,1.0,0.0,0.0
ARE,United Arab Emirates,uae_zayed_consolidation_1976_1990,resource_developmentalist,treated,no,medium_high,current_positive_inventory,draft_treated_phase,1979,1.0,0.0,0.0
ARE,United Arab Emirates,uae_zayed_consolidation_1976_1990,resource_developmentalist,treated,no,medium_high,current_positive_inventory,draft_treated_phase,1980,1.0,0.0,0.0
ARE,United Arab Emirates,uae_zayed_consolidation_1976_1990,resource_developmentalist,treated,no,medium_high,current_positive_inventory,draft_treated_phase,1981,1.0,0.0,0.0
ARE,United Arab Emirates,uae_zayed_consolidation_1976_1990,resource_developmentalist,treated,no,medium_high,current_positive_inventory,draft_treated_phase,1982,1.0,0.0,0.0
ARE,United Arab Emirates,uae_zayed_consolidation_1976_1990,resource_developmentalist,treated,no,medium_high,current_positive_inventory,draft_treated_phase,1983,1.0,0.0,0.0
ARE,United Arab Emirates,uae_zayed_consolidation_1976_1990,resource_developmentalist,treated,no,medium_high,current_positive_inventory,draft_treated_phase,1984,1.0,0.0,0.0
